🏮 Warp-Compatible Sushi Discovery Server
=========================================
🚀 Server: http://127.0.0.1:8081
🍣 Discovery: http://127.0.0.1:8081/discovery.html
📊 API: http://127.0.0.1:8081/api/job-recommendations

✅ Bypassing Warp terminal localhost interception!
2025-09-21T01:57:36.211Z GET /api/job-recommendations
2025-09-21T01:57:36.372Z GET /discovery.html
2025-09-21T01:57:36.403Z GET /discovery.html
2025-09-21T01:57:36.439Z GET /api/job-recommendations
2025-09-21T01:57:36.457Z GET /style.css
2025-09-21T01:57:36.528Z GET /discovery.html
2025-09-21T01:57:36.841Z GET /performance-manager.js
2025-09-21T01:57:36.848Z GET /conveyor-cache-manager.js
2025-09-21T01:57:36.857Z GET /discovery.js
2025-09-21T01:57:38.254Z GET /sw.js
2025-09-21T01:57:52.465Z GET /sw.js
2025-09-21T01:58:06.248Z GET /.well-known/appspecific/com.chrome.devtools.json
2025-09-21T02:04:58.354Z GET /sw.js
2025-09-21T02:04:58.367Z GET /manifest.json
2025-09-21T02:04:58.368Z GET /style.css
2025-09-21T02:06:17.203Z GET /.well-known/appspecific/com.chrome.devtools.json
